,atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
0,2017-08-22,2017-08-24,0,48.3,48.25,48.3,47.6,48.5,3309434,159356048,48.152055,48.3,48.25,48.3,47.6,48.5,3309434,48.15206,0.00312
1,2017-08-21,2017-08-24,0,48.15,48.15,48.2,46.7,48.4,5405075,257964771,47.72639991,48.15,48.15,48.2,46.7,48.4,5405075,47.7264,0.02447
2,2017-08-18,2017-08-22,0,47.0,46.95,47.0,46.6,47.1,2466328,115661302,46.89615574,47.0,46.95,47.0,46.6,47.1,2466328,46.896159999999995,-0.008440000000000001
3,2017-08-17,2017-08-21,0,47.4,47.35,47.4,47.1,47.75,3984500,188585977,47.3298976,47.4,47.35,47.4,47.1,47.75,3984500,47.3299,-0.00105
4,2017-08-16,2017-08-18,0,47.45,47.4,47.45,46.75,47.6,5358314,253510041,47.31153139,47.45,47.4,47.45,46.75,47.6,5358314,47.31153,0.013890000000000001
5,2017-08-15,2017-08-17,0,46.8,46.75,46.8,46.65,47.35,3903491,183260879,46.94794455,46.8,46.75,46.8,46.65,47.35,3903491,46.94794,-0.00847
6,2017-08-14,2017-08-16,0,47.2,47.2,47.25,46.5,47.6,4282967,201844912,47.12735634,47.2,47.2,47.25,46.5,47.6,4282967,47.127359999999996,0.00963
7,2017-08-11,2017-08-15,0,46.75,46.7,46.75,46.35,47.1,4612417,215167724,46.64966849,46.75,46.7,46.75,46.35,47.1,4612417,46.64967,-0.00953
8,2017-08-10,2017-08-14,0,47.2,47.15,47.2,46.8,47.95,4230331,199866797,47.24613677,47.2,47.15,47.2,46.8,47.95,4230331,47.246140000000004,-0.01048
9,2017-08-09,2017-08-11,0,47.7,47.7,47.75,46.15,48.5,5963385,282117791,47.30833092,47.7,47.7,47.75,46.15,48.5,5963385,47.30833,0.025810000000000003
10,2017-08-08,2017-08-10,0,46.5,46.5,46.55,46.15,46.7,2549476,118370790,46.42945845,46.5,46.5,46.55,46.15,46.7,2549476,46.42946,-0.00853
11,2017-08-07,2017-08-09,0,46.9,46.85,46.9,46.4,47.5,2376092,111267949,46.82813165,46.9,46.85,46.9,46.4,47.5,2376092,46.82813,-0.00213
12,2017-08-04,2017-08-08,0,47.0,46.95,47.0,46.45,47.05,4842382,226731047,46.82221415,47.0,46.95,47.0,46.45,47.05,4842382,46.82221,0.01293
13,2017-08-03,2017-08-07,0,46.4,46.35,46.4,45.7,46.4,3492554,161277616,46.17755831,46.4,46.35,46.4,45.7,46.4,3492554,46.17756,0.00979
14,2017-08-02,2017-08-04,0,45.95,45.9,45.95,45.6,46.0,3170228,145397308,45.86335999,45.95,45.9,45.95,45.6,46.0,3170228,45.86336,0.00547
15,2017-08-01,2017-08-03,0,45.7,45.65,45.7,45.05,45.7,3199781,145557708,45.48989696,45.7,45.65,45.7,45.05,45.7,3199781,45.4899,0.011059999999999999
16,2017-07-31,2017-08-02,0,45.2,45.15,45.2,45.05,45.45,1585104,71637468,45.19417527,45.2,45.15,45.2,45.05,45.45,1585104,45.194179999999996,-0.0011
17,2017-07-28,2017-08-01,0,45.25,45.2,45.25,44.75,45.25,1637613,73965020,45.16636104,45.25,45.2,45.25,44.75,45.25,1637613,45.16636,0.006670000000000001
18,2017-07-27,2017-07-31,0,44.95,44.95,45.05,44.7,45.35,2762050,124487559,45.07071161,44.95,44.95,45.05,44.7,45.35,2762050,45.07071,0.0011099999999999999
19,2017-07-26,2017-07-28,0,44.9,44.85,44.9,44.55,45.15,1612026,72408443,44.91766448,44.9,44.85,44.9,44.55,45.15,1612026,44.91766,-0.0022199999999999998
20,2017-07-25,2017-07-27,0,45.0,45.0,45.05,44.9,45.6,3009931,135807523,45.11981271,45.0,45.0,45.05,44.9,45.6,3009931,45.11981,-0.01099
21,2017-07-24,2017-07-26,0,45.5,45.45,45.5,45.25,45.8,1922039,87413702,45.47967133,45.5,45.45,45.5,45.25,45.8,1922039,45.47967,0.0
22,2017-07-21,2017-07-25,0,45.5,45.5,45.55,45.1,45.65,1383463,62953264,45.50411829,45.5,45.5,45.55,45.1,45.65,1383463,45.50412,0.005520000000000001
23,2017-07-20,2017-07-24,0,45.25,45.25,45.35,45.15,46.0,3355097,152407776,45.42574358,45.25,45.25,45.35,45.15,46.0,3355097,45.425740000000005,-0.0163
24,2017-07-19,2017-07-21,0,46.0,45.95,46.0,45.8,46.1,1882571,86498452,45.94697995,46.0,45.95,46.0,45.8,46.1,1882571,45.946979999999996,0.0
25,2017-07-18,2017-07-20,0,46.0,45.95,46.0,45.5,46.15,2739980,125524695,45.81226688,46.0,45.95,46.0,45.5,46.15,2739980,45.81227,-0.00217
26,2017-07-17,2017-07-19,0,46.1,46.05,46.1,45.15,46.2,6200805,283777587,45.76463653,46.1,46.05,46.1,45.15,46.2,6200805,45.76464,0.03247
27,2017-07-14,2017-07-18,0,44.65,44.55,44.65,44.5,44.8,1686965,75266657,44.61660852,44.65,44.55,44.65,44.5,44.8,1686965,44.616609999999994,0.00337
28,2017-07-13,2017-07-17,0,44.5,44.5,44.55,44.45,45.0,4048954,180770054,44.64611206,44.5,44.5,44.55,44.45,45.0,4048954,44.64611,0.01714
29,2017-07-12,2017-07-14,0,43.75,43.7,43.75,43.4,43.8,2149726,93770081,43.61955012,43.75,43.7,43.75,43.4,43.8,2149726,43.61955,0.0045899999999999995
30,2017-07-11,2017-07-13,0,43.55,43.5,43.55,43.2,43.7,2098058,91190989,43.46447477,43.55,43.5,43.55,43.2,43.7,2098058,43.46447,0.00346
31,2017-07-10,2017-07-12,0,43.4,43.4,43.45,43.15,43.8,1653170,71799661,43.43150493,43.4,43.4,43.45,43.15,43.8,1653170,43.4315,-0.00115
32,2017-07-07,2017-07-11,0,43.45,43.45,43.5,43.3,43.55,1810004,78677156,43.46794593,43.45,43.45,43.5,43.3,43.55,1810004,43.46795,-0.00912
